title,author,journal,year,source,status,reason
What we know and need to know about the gamification of advertising: A review and synthesis of the advergame studies,"Vashisht, D. and Royne, M.B. and Sreejesh, S.",European Journal of Marketing,2019,Scopus,Rejected,Does not address gamification
"Gameful Experience in Gamification: Construction and Validation of a
Gameful Experience Scale {[}GAMEX]","Eppmann, Rene and Bekk, Magdalena and Klein, Kristina",JOURNAL OF INTERACTIVE MARKETING,2018,ISI Web of Science,Duplicated,
Games for learning: Bridging game-related education methods to software engineering knowledge areas,"Souza, Mauricio R. A. and Veado, Lucas and Moreira, Renata Teles andFigueiredo, Eduardo and Costa, Heitor",,2017,ISI Web of Science,Accepted,
Toward a framework for effective corporate gamification,"Loughrey, Kevin and O'Broin, Daire","Proceedings of the 11th European Conference on Games Based Learning, ECGBL 2017",2017,El Compendex,Duplicated,
"Gamifying education: what is known, what is believed and what remains uncertain: a critical review","Dichev, C. and Dicheva, D.",International Journal of Educational Technology in Higher Education,2017,Scopus,Accepted,
Antecedents and outcomes of middle managers’ adoption of gamification as a strategic alignment tool,"Ferreira, H. and Roseira, C.",CEUR Workshop Proceedings,2018,Scopus,Duplicated,
A systematic literature review on the gamification monitoring phase: How SPI standards can contribute to gamification maturity,"Trinidad, M. and Calderón, A. and Ruiz, M.",Communications in Computer and Information Science,2018,Scopus,Accepted,
"Increasing Student Motivation and Awareness Towards Career Opportunities
Through Gamification","McGuire, Adam and Broin, Daire O. and White, P. J. and Deevy, Colin and
Power, Ken",,2016,ISI Web of Science,Duplicated,
Gamification in a Management Education: Systematic Literature Review and a Proposal of a Conceptual Research Model,"Leal, Carmem and Silva, Rui and Rodrigues, Ricardo",,2018,ISI Web of Science,Accepted,
"1st International Workshop on Social, Semantic, Adaptive and Gamification Techniques and Technologies for Distance Learning, HEFA 2017",,Communications in Computer and Information Science,2018,Scopus,Duplicated,
Designing and evaluating the effectiveness of a serious game for safe administration of blood transfusion: A randomized controlled trial,Apphia Jia Qi Tan and Cindy Ching Siang Lee and Patrick Yongxing Lin and Simon Cooper and Lydia Siew Tiang Lau and Wei Ling Chua and Sok Ying Liaw,Nurse Education Today,2017,Science@Direct,Rejected,Study that does not address gamification
Do persuasive technologies persuade? - A review of empirical studies,"Hamari, Juho and Koivisto, Jonna and Pakkanen, Tuomas",Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2014,El Compendex,Duplicated,
Gaming for the energy transition. Experimenting and learning in co-designing a serious game prototype,Katharina Gugerell and Christian Zuidema,Journal of Cleaner Production,2017,Science@Direct,Rejected,Study that does not address gamification
Introducing a revised lexical approach to study user experience in game play by analyzing online reviews,"Zhu, Miaoqi and Fang, Xiaowen",ACM International Conference Proceeding Series,2014,El Compendex,Duplicated,
An analysis of gamification elements in online learning to enhance learning engagement,"Mohamad, Siti Nurul Mahfuzah and Salam, Sazilah and Bakar, Norasiken",,2017,ISI Web of Science,Accepted,
Learning through play in pervasive context. A Survey,"Lamrani, Rachid and Abdelwahed, El Hassan",,2015,ISI Web of Science,Duplicated,
"Gamification, serious games, simulations, and immersive learningenvironments in knowledge management initiatives","Ahmed, Allam and Sutton, Michael J. D.",WORLD JOURNAL OF SCIENCE TECHNOLOGY AND SUSTAINABLE DEVELOPMENT,2017,ISI Web of Science,Rejected,Not a systematic secondary study
Learning through play in pervasive context: A survey,"Lamrani, Rachid and Abdelwahed, El Hassan","Proceedings of IEEE/ACS International Conference on Computer Systems and Applications, AICCSA",2016,El Compendex,Duplicated,
Viewpoint: Beyond carrots and sticks: Europeans support health nudges,Lucia A. Reisch and Cass R. Sunstein and Wencke Gwozdz,Food Policy,2017,Science@Direct,Rejected,Study that does not address gamification
Learning through play in pervasive context: A survey,R. {Lamrani} and E. H. {Abdelwahed},,2015,IEEE Digital Library,Duplicated,
Using technology to boost employee wellbeing? How gamification can help or hinder results,"Pogrebtsova, Ekaterina and Tondello, Gustavo F. and Premsukh, Hardy and Nacke, Lennart E.",CEUR Workshop Proceedings,2017,El Compendex,Rejected,
